2018/01/11 10:03:51 [error] 23846#23846: *1288 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/11 10:04:05 [error] 23846#23846: *1288 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/11 10:04:23 [error] 23846#23846: *1288 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/11 10:04:24 [error] 23846#23846: *1288 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/11 10:09:36 [error] 24833#24833: *3 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/11 10:13:49 [error] 24928#24928: *34 [lua] init_by_lua:42: checkRegionBlackList(): ipipc:query_file(172.19.3.48) fail, client: 172.19.3.48, server: 127.0.0.1, request: "GET /ipcheck HTTP/1.1", host: "172.20.5.27:8777"
2018/01/17 11:55:56 [error] 14437#14437: *22174 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 11:57:23 [error] 14437#14437: *22176 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 12:00:09 [error] 14437#14437: *22178 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 12:05:17 [error] 14437#14437: *22180 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 12:08:52 [error] 14437#14437: *22182 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 12:10:35 [error] 14437#14437: *22184 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 13:21:07 [error] 14437#14437: *22832 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 13:22:18 [error] 14437#14437: *22834 upstream timed out (110: Connection timed out) while connecting to upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 13:22:38 [error] 14437#14437: *22836 upstream timed out (110: Connection timed out) while connecting to upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 13:22:58 [error] 14437#14437: *22838 upstream timed out (110: Connection timed out) while connecting to upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:10:45 [error] 14437#14437: *23394 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:11:05 [error] 14437#14437: *23396 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:11:25 [error] 14437#14437: *23398 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:11:45 [error] 14437#14437: *23400 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:12:05 [error] 14437#14437: *23402 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:12:18 [error] 14437#14437: *23404 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/bet HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/bet", host: "172.20.5.27:8101"
